token,stockname,value
15083,ADANIPORTS-EQ,0
236,ASIANPAINT-EQ,0
5900,AXISBANK-EQ,0
16669,BAJAJ-AUTO-EQ,0
10604,BHARTIARTL-EQ,0
526,BPCL-EQ,0
547,BRITANNIA-EQ,0
694,CIPLA-EQ,0
20374,COALINDIA-EQ,0
10940,DIVISLAB-EQ,0
881,DRREDDY-EQ,0
910,EICHERMOT-EQ,0
1232,GRASIM-EQ,0
7229,HCLTECH-EQ,0
1333,HDFCBANK-EQ,0
1330,HDFC-EQ,0
467,HDFCLIFE-EQ,0
1348,HEROMOTOCO-EQ,0
1363,HINDALCO-EQ,0
1394,HINDUNILVR-EQ,0
4963,ICICIBANK-EQ,0
5258,INDUSINDBK-EQ,0
1594,INFY-EQ,0
1624,IOC-EQ,0
1660,ITC-EQ,0
11723,JSWSTEEL-EQ,0
1922,KOTAKBANK-EQ,0
11483,LT-EQ,0
2031,M&M-EQ,0
11630,NTPC-EQ,0
2475,ONGC-EQ,0
14977,POWERGRID-EQ,0
2885,RELIANCE-EQ,0
21808,SBILIFE-EQ,0
3045,SBIN-EQ,0
3351,SUNPHARMA-EQ,0
3432,TATACONSUM-EQ,0
3456,TATAMOTORS-EQ,0
3499,TATASTEEL-EQ,0
11536,TCS-EQ,0
13538,TECHM-EQ,0
3506,TITAN-EQ,0
11287,UPL-EQ,0
3787,WIPRO-EQ,0
